Texas Christian,TCU
Middle Tennessee St.,Middle Tenn
Southern Cal,USC
Northern Illinois,Northern Ill
Florida Atlantic,Florida Atl.
Texas AM,Texas A&M
Miami (FL),Miami FLA
Miami (OH),Miami Ohio
South Florida,S. Florida
Louisiana-Monroe,UL Monroe
SUNY-Buffalo,Buffalo
Bowling Green State,Bowling Green
Central Michigan,Central Mich
Louisiana-Lafayette,UL Lafayette
North Carolina State,No Carolina St.
Kent State,Kent State
Western Michigan,Western Mich
Central Florida,UCF
Appalachian State,Appalachian State
Texas State,Texas State
Texas-San Antonio,UTSA
Southern Methodist,SMU
Florida Intl,FIU
Eastern Michigan,Eastern Mich
UNC Charlotte,Charlotte 49ers
N.Y. Jets,NY Jets
